"id";"name";"abv";"breweryId";"beerstyleId"
"440";"3 Fonteinen Oude Kriek (season 16|17) Blend No. 44";"5.0";"3562";"141"
"443";"Imperial Biscotti Break";"11.0";"3735";"15"
"446";"Luxe Frambozen Stout";"7.0";"146374";"84"
"449";"Mexican Vanilla Piña Colada Milkshake IPA";"7.0";"29486";"60"
"452";"Bourbon Barrel Aged Sexual Chocolate ";"9.0";"543";"30"
"455";"Hel & Verdoemenis Bowmore Barrel Aged IJsbock";"21.0";"3367";"210"
"458";"Aldersbacher Kloster Weisse Dunkel";"5.0";"19152";"339"
"461";"Stark Dark Wheat";"5.0";"13585";"339"
"464";"10 Apple Stout (Cellar Series)";"12.0";"54434";"15"
"467";"Can You Pass Me the Milk?";"4.0";"106897";"33"
"470";"Bederatzi + 1";"9.0";"308275";"15"
"473";"Desperados Original";"5.0";"1429";"826"
"476";"Stark Wheat";"5.0";"13585";"676"
"479";"Kracht Hout";"9.0";"84600";"78"
"482";"Brookvale Union: Ginger Beer";"4.0";"415902";"763"
"485";"Spanish Inquisition";"10.0";"620";"297"
"488";"Belgian Barleywine";"10.0";"208034";"384"
"491";"Smoldering Holes";"10.0";"186232";"3"
"494";"Diving Bell (2018 Rum Barrel Aged)";"9.0";"24142";"144"
"497";"Klompen & Txapela";"13.0";"34744";"207"
"500";"Mosaic Brux";"6.0";"48736";"36"
"503";"Лоботомия 2018 Фронтальная (Lobotomy 2018 Frontal) Triple-Bourbon BA";"12.0";"38368";"30"
"506";"Polderblond";"6.0";"72908";"66"
"509";"Beast";"9.0";"48736";"57"
"512";"Cuvée Barrique (TAPX) (2015)";"9.0";"1023";"69"
"515";"Ciney Blonde (2018)";"7.0";"264";"72"
"518";"Houblon Chouffe";"9.0";"11866";"96"
"521";"Bali Hai";"4.0";"3560";"243"
"524";"Citra Lover";"8.0";"48736";"117"
"527";"Kupola & Pastila";"10.0";"38368";"354"
"530";"Oude Geuze Editie Gooikoorts (2018)";"6.0";"4934";"12"
"533";"Serpent's Stout";"11.0";"2712";"15"
"536";"Green Ghost Gose";"3.0";"32280";"703"
"539";"Gavroche";"8.0";"177";"691"
"542";"Imperial Stout";"10.0";"3296";"3"
"545";"Menage sAcch Trois";"7.0";"53536";"399"
"548";"Royale Weizen-IPA";"6.0";"4058";"824"
"551";"Malheur Bière Brut (Brut Reserve)";"11.0";"276";"309"
"554";"Sjøemel Radler";"23.0";"188723";"579"
"557";"Guinness One Indonesia Edition";"4.0";"49";"420"
"560";"Grandma's Cooking Recipes Vol. 3 - Tiramisu Sweet Stout";"10.0";"32280";"700"
"563";"So Happens It's Tuesday (2017)";"14.0";"1246";"30"
"566";"Rodenbach Vintage 2015 (Foeder No. 195)";"7.0";"291";"366"
